English,French,German,Italian,Spanish,Turkish
time,temps,Zeit,tempo,tiempo,zaman
year,année,Jahr,anno,año,yıl
people,personnes,Menschen,persone,gente,insanlar
way,chemin,Weg,modo,forma,yol
day,jour,Tag,giorno,día,gün
man,homme,Mann,Uomo,hombre,adam
thing,chose,Ding,cosa,cosa,şey
woman,femme,Frau,donna,mujer,kadın
life,vie,Leben,vita,vida,hayat
child,enfant,Kind,bambino,niño,çocuk
world,monde,Welt,mondo,mundo,dünya
school,école,Schule,scuola,escuela,okul
state,État,Zustand,stato,estado,durum
family,famille,Familie,famiglia,familia,aile
student,étudiant,Student,alunno,alumno,öğrenci
group,groupe,Gruppe,gruppo,grupo,grup
country,pays,Land,Paese,país,ülke
problem,problème,Problem,problema,problema,sorun
hand,main,Hand,mano,mano,el
part,partie,Teil,parte,parte,parça
place,lieu,Ort,posto,lugar,yer
case,cas,Fall,caso,caso,dava
week,semaine,Woche,settimana,semana,hafta
company,entreprise,Unternehmen,azienda,compañía,şirket
system,système,System,sistema,sistema,sistem
program,programme,Programm,programma,programa,program
question,question,Frage,domanda,pregunta,soru
work,travail,arbeiten,lavoro,trabajar,iş
government,gouvernement,Regierung,governo,gobierno,devlet
number,nombre,Nummer,numero,número,sayı
night,nuit,Nacht,notte,noche,gece
point,indiquer,Punkt,punto,punto,nokta
home,maison,heim,casa,hogar,Ev
water,eau,Wasser,acqua,agua,su
room,chambre,Zimmer,camera,habitación,oda
mother,mère,Mutter,madre,madre,anne
area,zone,Bereich,la zona,área,alan
money,argent,Geld,soldi,dinero,para
story,histoire,Geschichte,storia,historia,hikaye
fact,fait,Tatsache,fatto,hecho,hakikat
month,mois,Monat,mese,mes,ay
lot,parcelle,viel,quantità,lote,pay
right,droite,Rechts,Giusto,bien,Sağ
study,étude,lernen,studio,estudiar,çalışmak
book,livre,Buch,libro,libro,kitap
eye,œil,Auge,occhio,ojo,göz
job,emploi,Arbeit,lavoro,trabajo,iş
word,mot,Wort,parola,palabra,kelime
business,entreprise,Geschäft,Attività commerciale,negocio,işletme
issue,problème,Ausgabe,problema,asunto,sorun
side,côté,Seite,lato,lado,taraf
kind,type,Art,Tipo,amable,tür
head,diriger,Kopf,Testa,cabeza,kafa
house,loger,Haus,casa,casa,ev
service,service,Service,servizio,servicio,hizmet
friend,ami,Freund,amico,amigo,arkadaş
father,père,Vater,padre,padre,baba
power,pouvoir,Leistung,energia,fuerza,güç
hour,heure,Stunde,ora,hora,saat
game,jeu,Spiel,gioco,juego,oyun
line,doubler,Linie,linea,línea,astar
end,fin,Ende,FINE,fin,son
member,membre,Mitglied,membro,miembro,üye
law,loi,Gesetz,legge,ley,kanun
car,voiture,Auto,auto,auto,araba
city,ville,Stadt,città,ciudad,şehir
community,communauté,Gemeinschaft,Comunità,comunidad,toplum
name,nom,Name,nome,nombre,isim
president,président,Präsident,Presidente,presidente,başkan
team,équipe,Team,squadra,equipo,takım
minute,minute,Minute,minuto,minuto,dakika
idea,idée,Idee,idea,idea,fikir
kid,enfant,Kind,ragazzo,niño,çocuk
body,corps,Körper,corpo,cuerpo,vücut
information,information,Information,informazione,información,bilgi
back,dos,zurück,Indietro,atrás,geri
parent,parent,Elternteil,genitore,padre,ebeveyn
face,affronter,Gesicht,viso,rostro,yüz
others,autres,Andere,altri,otros,diğerleri
level,niveau,eben,livello,nivel,seviyesi
office,bureau,Büro,ufficio,oficina,ofis
door,porte,Tür,porta,puerta,kapı
health,santé,Gesundheit,salute,salud,sağlık
person,personne,Person,persona,persona,kişi
art,art,Kunst,arte,arte,sanat
war,guerre,Krieg,guerra,guerra,savaş
history,histoire,Geschichte,storia,historia,tarih
party,faire la fête,Party,festa,fiesta,Parti
result,résultat,Ergebnis,risultato,resultado,sonuç
change,changement,ändern,modifica,cambiar,değiştirmek
morning,matin,Morgen,Mattina,mañana,sabah
reason,raison,Grund,motivo,razón,sebep
research,recherche,Forschung,ricerca,investigación,araştırma
girl,fille,Mädchen,ragazza,chica,kız
guy,gars,Kerl,tipo,chico,adam
moment,moment,Moment,momento,momento,an
air,air,Luft,aria,aire,hava
teacher,professeur,Lehrer,insegnante,maestro,Öğretmen
force,force,Gewalt,forza,fuerza,güç
education,éducation,Ausbildung,formazione scolastica,educación,eğitim